City,County,Site,Waste_Type,Description,Label,Volume_in_mt,BQ,Radionuclides
SEVRES,Hauts-de-Seine,BIPM - IONIZING RADIATION,,"GAZ (0,001 m3)",DSF,"0,001","1,58E+05",85Kr
ORLEANS,Loiret,CILAS - LASER INDUSTRIAL COMPANY,,"S02 (0,2 m3)",S02,0,"4,10E+12",3H
TROYES,Aube,COBHAM - GTE - AERONAUTICAL AND SPACE INDUSTRY,,"S02 (0,05 m3)",S02,0,"5,74E+10",3H
LE BOURGET,Seine-Saint-Denis,DASSAULT AVIATION - FALCON SPARE - SPARE PARTS STORAGE - CIVIL AIRCRAFT,,"S02 (0,02 m3)",S02,0,"2,61E+05",228Ra
LE BOURGET,Seine-Saint-Denis,DASSAULT AVIATION - FALCON SPARE - SPARE PARTS STORAGE - CIVIL AIRCRAFT,,"S02 (0,01 m3)",S02,0,"3,73E+02",228Ra
ISTRES,Bouches-du-Rhône,DASSAULT AVIATION - ISTRES - FLIGHT TESTS,,"S04 (0,005 m3)",S04,0,"6,60E+10",228Ra
ISTRES,Bouches-du-Rhône,DASSAULT AVIATION - ISTRES - FLIGHT TESTS,,"S04 (0,001 m3)",S04,0,"1,10E+05",85Kr
ISTRES,Bouches-du-Rhône,DASSAULT AVIATION - ISTRES - FLIGHT TESTS,,"S04 (0,001 m3)",S04,0,"3,00E+05",63Ni
ISTRES,Bouches-du-Rhône,DASSAULT AVIATION - ISTRES - FLIGHT TESTS,,"S04 (0,001 m3)",S04,0,"1,33E+11",3H
POISSY,Yvelines,ENVEA - POISSY,,"S01 (0,001 m3)",S01,0,"4,12E+03",137Cs
TULLE,Corrèze,NEXTER GROUP - NEXTER MECHANICS OF TULLE,,"S01 (0,00002 m3)",S01,0,"1,28E+11",3H
ROANNE,Loire,NEXTER GROUP - NEXTER SYSTEMS OF ROANNE,,"S02 (0,3 m3)",S02,0,4.84E+12,3H
TRAPPES,Yvelines,WEATHER FRANCE - TRAPPES,,"S04 (0,03 m3)",S04,0,"0,00E+00",3H
SCHILTIGHEIM,Bas-Rhin,ORANGE - UI ALSACE LORRAINE,,"S04 (0,109 m3)",S04,0,"0,00E+00","3H, 85Kr, 147Pm, 226Ra, 232Th"
CHALONS-EN-CHAMPAGNE,Marne,ORANGE - UI CHAMPAGNE-ARDENNE,,"S04 (0,124 m3)",S04,0,"0,00E+00","3H, 85Kr, 147Pm, 226Ra, 232Th"
AJACCIO,Corse-du-Sud,ORANGE - UI RUNS,,"S04 (0,016 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra"
MANTES-LA-JOLIE,Yvelines,ORANGE - UI ILE DE FRANCE WEST,,"S04 (0,044 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra"
LIMOGES,Haute-Vienne,ORANGE - UI LIMOUSIN &amp; POITOU-CHARANTES,,"S04 (0,044 m3)",S04,0,"0,00E+00","3H, 147Pm, 144Pm, 232Th"
SAINT-PRIEST,Ardèche,ORANGE - UI LYON,,"S04 (0,079 m3)",S04,0,"0,00E+00","3H, 147Pm, 232Th"
MARTIGUES,Bouches-du-Rhône,ORANGE - UI MARSEILLE,,"S04 (0,022 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
NANTES,Loire-Atlantique,ORANGE - UI PAYS DE LA LOIRE,,"S04 (0,055 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
AMIENS,Somme,ORANGE - UI PICARDIE,,"S04 (0,046 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VENDEUVRE-SUR-BARSE,Aube,SNCF-STSI,,"S02 (0,025 m3)",S02,0,"1,50E+11",3H
CHATELLERAULT,Vienne,THALES AVS FRANCE - CHATELLERAULT SITE,,"DSF-3H (0,03 m3)",DSF-3H,"0,03","0,00E+00",3H
VELIZY-VILLACOUBLAY,Yvelines,THALES AVS FRANCE - SITE DE VELIZY,,"S04 (0,0011 m3)",S04,0,"1,22E+07",147Pm
VELIZY-VILLACOUBLAY,Yvelines,THALES AVS FRANCE - SITE DE VELIZY,,"S01 (0,03 m3)",S01,0,"0,00E+00",
FLEURY-LES-AUBRAIS,Loiret,THALES LAS - CUSTOMER SERVICE (FLEURY-LES-AUBRAIS),,"S02 (1,2 m3)",S02,0,"5,50E+12",3H
CHAMBERY,Savoie,ORANGE - UI ALPS,,"S04 (0,031 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
