index,path,x,y,source_field,source_value,target_field,target_value,type
0, 0, 473.529688199473, 511.1792018932556, Val-dOise, 12, 183Re, 12, ribbon 
0, 1, 473.28456525582646, 511.0936489661281, Val-dOise, 12, 183Re, 12, ribbon 
0, 2, 473.0395567290389, 511.0077689181338, Val-dOise, 12, 183Re, 12, ribbon 
0, 3, 480.8129044312697, 488.0270509481844, Val-dOise, 12, 183Re, 12, ribbon 
0, 4, 494.65435359589554, 441.81213387718935, Val-dOise, 12, 183Re, 12, ribbon 
0, 5, 506.22214110740686, 395.2592419647327, Val-dOise, 12, 183Re, 12, ribbon 
0, 6, 515.5162669658037, 348.36837521081446, Val-dOise, 12, 183Re, 12, ribbon 
0, 7, 522.536731171086, 301.13953361543463, Val-dOise, 12, 183Re, 12, ribbon 
0, 8, 527.2835337232539, 253.57271717859317, Val-dOise, 12, 183Re, 12, ribbon 
0, 9, 529.7566746223073, 205.66792590029013, Val-dOise, 12, 183Re, 12, ribbon 
0, 10, 529.9561538682462, 157.42515978052552, Val-dOise, 12, 183Re, 12, ribbon 
0, 11, 529.2032703712978, 133.17703615509512, Val-dOise, 12, 183Re, 12, ribbon 
0, 12, 529.4626652755865, 133.16613457393464, Val-dOise, 12, 183Re, 12, ribbon 
0, 13, 529.7220745006986, 133.15557925443983, Val-dOise, 12, 183Re, 12, ribbon 
0, 14, 530.4140486361588, 157.40697083649303, Val-dOise, 12, 183Re, 12, ribbon 
0, 15, 530.1163975953646, 205.65978793374856, Val-dOise, 12, 183Re, 12, ribbon 
0, 16, 527.5766141389506, 253.57931694186956, Val-dOise, 12, 183Re, 12, ribbon 
0, 17, 522.7946982669171, 301.16555786085604, Val-dOise, 12, 183Re, 12, ribbon 
0, 18, 515.7706499792638, 348.41851069070805, Val-dOise, 12, 183Re, 12, ribbon 
0, 19, 506.504469275991, 395.3381754314255, Val-dOise, 12, 183Re, 12, ribbon 
0, 20, 494.99615615709854, 441.92455208300845, Val-dOise, 12, 183Re, 12, ribbon 
0, 21, 481.24571062258644, 488.17764064545685, Val-dOise, 12, 183Re, 12, ribbon 
0, 22, 473.529688199473, 511.1792018932556, Val-dOise, 12, 183Re, 12, ribbon 
0, 23, 473.529688199473, 511.1792018932556, Val-dOise, 12, 183Re, 12, ribbon 
1, 0, 473.0395567290389, 511.0077689181338, Val-dOise, 12, 131I, 12, ribbon 
1, 1, 472.794663055417, 510.92156190297806, Val-dOise, 12, 131I, 12, ribbon 
1, 2, 472.5498846714752, 510.8350280737735, Val-dOise, 12, 131I, 12, ribbon 
1, 3, 476.64345432097855, 499.7185655506055, Val-dOise, 12, 131I, 12, ribbon 
1, 4, 485.0357182688089, 479.5375008929266, Val-dOise, 12, 131I, 12, ribbon 
1, 5, 493.701481748404, 462.0922500867903, Val-dOise, 12, 131I, 12, ribbon 
1, 6, 502.64074475976383, 447.38281313219676, Val-dOise, 12, 131I, 12, ribbon 
1, 7, 511.8535073028884, 435.40919002914586, Val-dOise, 12, 131I, 12, ribbon 
1, 8, 521.3397693777777, 426.17138077763775, Val-dOise, 12, 131I, 12, ribbon 
1, 9, 531.0995309844318, 419.66938537767237, Val-dOise, 12, 131I, 12, ribbon 
1, 10, 541.1327921228506, 415.9032038292496, Val-dOise, 12, 131I, 12, ribbon 
1, 11, 551.4395527930341, 414.8728361323696, Val-dOise, 12, 131I, 12, ribbon 
1, 12, 562.0198129949823, 416.5782822870324, Val-dOise, 12, 131I, 12, ribbon 
1, 13, 572.8735727286954, 421.0195422932378, Val-dOise, 12, 131I, 12, ribbon 
1, 14, 584.0008319941732, 428.1966161509859, Val-dOise, 12, 131I, 12, ribbon 
1, 15, 595.4015907914156, 438.10950386027673, Val-dOise, 12, 131I, 12, ribbon 
1, 16, 607.0758491204228, 450.75820542111035, Val-dOise, 12, 131I, 12, ribbon 
1, 17, 619.0236069811949, 466.1427208334866, Val-dOise, 12, 131I, 12, ribbon 
1, 18, 631.2448643737316, 484.2630500974056, Val-dOise, 12, 131I, 12, ribbon 
1, 19, 637.4580553944118, 494.34914492369364, Val-dOise, 12, 131I, 12, ribbon 
1, 20, 637.2352516221542, 494.4824229785629, Val-dOise, 12, 131I, 12, ribbon 
