index,path,x,y,source_field,source_value,target_field,target_value,type
0, 0, 512.5709824672682, 494.5150931823707, Finistère, 12, 226Ra, 0, ribbon 
0, 1, 508.6652250838239, 494.01095104722003, Finistère, 12, 226Ra, 0, ribbon 
0, 2, 504.76960832200797, 493.4336555639061, Finistère, 12, 226Ra, 0, ribbon 
0, 3, 506.6359531161183, 480.8142688432333, Finistère, 12, 226Ra, 0, ribbon 
0, 4, 509.29281458975396, 457.6467959143163, Finistère, 12, 226Ra, 0, ribbon 
0, 5, 510.51523857727625, 437.2410570019705, Finistère, 12, 226Ra, 0, ribbon 
0, 6, 510.3032250786852, 419.59705210619586, Finistère, 12, 226Ra, 0, ribbon 
0, 7, 508.65677409398086, 404.7147812269925, Finistère, 12, 226Ra, 0, ribbon 
0, 8, 505.5758856231631, 392.5942443643603, Finistère, 12, 226Ra, 0, ribbon 
0, 9, 501.06055966623205, 383.23544151829935, Finistère, 12, 226Ra, 0, ribbon 
0, 10, 496.73271559827185, 378.0287273321285, Finistère, 12, 226Ra, 0, ribbon 
0, 11, 493.3992245052213, 375.4206264215264, Finistère, 12, 226Ra, 0, ribbon 
0, 12, 489.7071240406424, 373.5029590150671, Finistère, 12, 226Ra, 0, ribbon 
0, 13, 485.65641420453517, 372.27572511275065, Finistère, 12, 226Ra, 0, ribbon 
0, 14, 478.9079568787587, 371.72943707954374, Finistère, 12, 226Ra, 0, ribbon 
0, 15, 468.65488097737426, 373.41757029976765, Finistère, 12, 226Ra, 0, ribbon 
0, 16, 456.9673675898764, 377.86743753656276, Finistère, 12, 226Ra, 0, ribbon 
0, 17, 443.8454167162653, 385.0790387899291, Finistère, 12, 226Ra, 0, ribbon 
0, 18, 429.28902835654077, 395.0523740598666, Finistère, 12, 226Ra, 0, ribbon 
0, 19, 413.2982025107029, 407.78744334637537, Finistère, 12, 226Ra, 0, ribbon 
0, 20, 395.8729391787517, 423.2842466494553, Finistère, 12, 226Ra, 0, ribbon 
0, 21, 386.6223934554836, 432.0682985572096, Finistère, 12, 226Ra, 0, ribbon 
0, 22, 395.8805577081904, 423.2853027408796, Finistère, 12, 226Ra, 0, ribbon 
0, 23, 413.36676927565145, 407.7969481691939, Finistère, 12, 226Ra, 0, ribbon 
0, 24, 429.479491592509, 395.07877634547367, Finistère, 12, 226Ra, 0, ribbon 
0, 25, 444.21872465876305, 385.1307872697189, Finistère, 12, 226Ra, 0, ribbon 
0, 26, 457.5844684744136, 377.9529809419296, Finistère, 12, 226Ra, 0, ribbon 
0, 27, 469.57672303946066, 373.54535736210573, Finistère, 12, 226Ra, 0, ribbon 
0, 28, 480.1954883539042, 371.90791653024735, Finistère, 12, 226Ra, 0, ribbon 
0, 29, 487.2582100190283, 372.49776833470594, Finistère, 12, 226Ra, 0, ribbon 
