index,path,x,y,source_field,source_value,target_field,target_value,type
0, 0, 402.687912563685, 422.7102815484752, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 1, 402.3687821680703, 422.3948458232944, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 2, 402.0503898321838, 422.0786651367017, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 3, 410.38371545774277, 413.51913788708043, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 4, 426.2567166492837, 396.0724193163732, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 5, 441.07151776138863, 378.1888153170465, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 6, 454.82811879405745, 359.8683258891002, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 7, 467.52651974729025, 341.1109510325344, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 8, 479.16672062108694, 321.9166907473491, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 9, 489.74872141544756, 302.2855450335443, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 10, 499.2725221303722, 282.21751389111995, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 11, 507.7381227658607, 261.71259732007604, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 12, 515.1455233219132, 240.7707953204127, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 13, 521.4947237985295, 219.39210789212981, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 14, 526.7857241957098, 197.57653503522738, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 15, 531.0185245134542, 175.32407674970548, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 16, 534.1931247517623, 152.634733035564, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 17, 536.3095249106344, 129.50850389280305, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 18, 537.3677249900705, 105.94538932142254, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 19, 537.5, 94, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 20, 537.368347570863, 105.9460061343247, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 21, 536.3151281377668, 129.51405520892217, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 22, 534.2086892715744, 152.6501533581171, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 23, 531.0490309722857, 175.35430058190948, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 24, 526.8361532399009, 197.62649688029933, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 25, 521.5700560744198, 219.46674225328664, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 26, 515.2507394758426, 240.87503670087142, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 27, 507.8782034441691, 261.85138022305364, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 28, 499.4524479793994, 282.3957728198333, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 29, 489.9734730815335, 302.50821449121054, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 30, 479.4412787505714, 322.18870523718516, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 31, 467.8558649865131, 341.43724505775725, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 32, 455.21723178935855, 360.2538339529268, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 33, 441.52537915910784, 378.63847192269384, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 34, 426.78030709576086, 396.5911589670583, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 35, 410.9820155993177, 414.11189508602024, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 36, 402.687912563685, 422.7102815484752, Hautes-Pyrénées, 6, 131I, 0, ribbon 
0, 37, 402.687912563685, 422.7102815484752, Hautes-Pyrénées, 6, 131I, 0, ribbon 
1, 0, 402.0503898321838, 422.0786651367017, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 1, 401.73273729553375, 421.7617412150969, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 2, 401.41582629299535, 421.4440757895368, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 3, 409.80317645391665, 412.92419033802224, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 4, 425.87041260116, 395.556635146982, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 5, 440.9943631822712, 377.7520342385935, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 6, 455.17502819725007, 359.5103876128569, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 7, 468.4124076460968, 340.8316952697721, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 8, 480.7065015288113, 321.71595720933914, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 9, 492.0573098453936, 302.163173431558, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 10, 502.4648325958437, 282.1733439364287, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 11, 511.92906978016157, 261.74646872395124, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 12, 520.4500213983472, 240.88254779412557, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 13, 528.0276874504007, 219.58158114695172, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 14, 534.6620679363218, 197.8435687824297, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 15, 540.3531628561109, 175.66851070055955, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 16, 545.1009722097676, 153.0564069013412, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 17, 548.9054959972922, 130.00725738477473, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 18, 551.7667342186846, 106.52106215086002, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 19, 552.8436212420812, 94.6140723898971, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 20, 551.7673539096409, 106.52168186701937, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 21, 548.9110732158983, 130.01283483020876, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 22, 545.1164644836736, 153.07189980532473, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 23, 540.3835277129665, 175.69887679236726, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 24, 534.7122629037772, 197.89376579133634, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 25, 528.1026700561055, 219.65656680223196, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 26, 520.5547491699515, 240.98727982505415, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 27, 512.0685002453152, 261.8859048598029, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 28, 502.6439232821966, 282.3524419064782, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 29, 492.28101828059573, 302.38689096508, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 30, 480.97978524051257, 321.98925203560844, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 31, 468.740224161947, 341.15952511806336, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 32, 455.5623350448992, 359.89771021244485, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 33, 441.44611788936913, 378.2038073187529, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 34, 426.3915726953567, 396.0778164369875, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 35, 410.398699462862, 413.5197375671487, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 36, 402.0503898321838, 422.0786651367017, Hautes-Pyrénées, 6, 111In, 0, ribbon 
1, 37, 402.0503898321838, 422.0786651367017, Hautes-Pyrénées, 6, 111In, 0, ribbon 
2, 0, 401.41582629299535, 421.4440757895368, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 1, 401.0996585553008, 421.12567059522155, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 2, 400.7842358095452, 420.80652737096955, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 3, 409.2253317467215, 412.3276612940367, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 4, 425.48568767271183, 395.04918044268777, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 5, 440.9169290008856, 377.3430346613611, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 6, 455.5190557312427, 359.2092239500567, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 7, 469.29206786378336, 340.64774830877457, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 8, 482.2359653985074, 321.65860773751467, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 9, 494.3507483354149, 302.241802236277, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 10, 505.6364166745058, 282.39733180506164, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 11, 516.0929704157802, 262.1251964438685, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 12, 525.7204095592381, 241.42539615269766, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 13, 534.5187341048793, 220.29793093154905, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 14, 542.487944052704, 198.74280078042267, Hautes-Pyrénées, 6, 123I, 0, ribbon 
2, 15, 549.6280394027121, 176.76000569931858, Hautes-Pyrénées, 6, 123I, 0, ribbon 
