County,Volume_in_mt,Waste_Type,Description,Site
Hauts-de-Seine,0.001,,"GAZ (0,001 m3)",BIPM - IONIZING RADIATION
Loiret,0.0,,"S02 (0,2 m3)",CILAS - LASER INDUSTRIAL COMPANY
Aube,0.0,,"S02 (0,05 m3)",COBHAM - GTE - AERONAUTICAL AND SPACE INDUSTRY
Seine-Saint-Denis,0.0,,"S02 (0,02 m3)",DASSAULT AVIATION - FALCON SPARE - SPARE PARTS STORAGE - CIVIL AIRCRAFT
Seine-Saint-Denis,0.0,,"S02 (0,01 m3)",DASSAULT AVIATION - FALCON SPARE - SPARE PARTS STORAGE - CIVIL AIRCRAFT
Bouches-du-Rhône,0.0,,"S04 (0,005 m3)",DASSAULT AVIATION - ISTRES - FLIGHT TESTS
Bouches-du-Rhône,0.0,,"S04 (0,001 m3)",DASSAULT AVIATION - ISTRES - FLIGHT TESTS
Bouches-du-Rhône,0.0,,"S04 (0,001 m3)",DASSAULT AVIATION - ISTRES - FLIGHT TESTS
Bouches-du-Rhône,0.0,,"S04 (0,001 m3)",DASSAULT AVIATION - ISTRES - FLIGHT TESTS
Yvelines,0.0,,"S01 (0,001 m3)",ENVEA - POISSY
Corrèze,0.0,,"S01 (0,00002 m3)",NEXTER GROUP - NEXTER MECHANICS OF TULLE
Loire,0.0,,"S02 (0,3 m3)",NEXTER GROUP - NEXTER SYSTEMS OF ROANNE
Yvelines,0.0,,"S04 (0,03 m3)",WEATHER FRANCE - TRAPPES
Bas-Rhin,0.0,,"S04 (0,109 m3)",ORANGE - UI ALSACE LORRAINE
Marne,0.0,,"S04 (0,124 m3)",ORANGE - UI CHAMPAGNE-ARDENNE
Corse-du-Sud,0.0,,"S04 (0,016 m3)",ORANGE - UI RUNS
Yvelines,0.0,,"S04 (0,044 m3)",ORANGE - UI ILE DE FRANCE WEST
Haute-Vienne,0.0,,"S04 (0,044 m3)",ORANGE - UI LIMOUSIN &amp; POITOU-CHARANTES
Ardèche,0.0,,"S04 (0,079 m3)",ORANGE - UI LYON
Bouches-du-Rhône,0.0,,"S04 (0,022 m3)",ORANGE - UI MARSEILLE
Loire-Atlantique,0.0,,"S04 (0,055 m3)",ORANGE - UI PAYS DE LA LOIRE
Somme,0.0,,"S04 (0,046 m3)",ORANGE - UI PICARDIE
Aube,0.0,,"S02 (0,025 m3)",SNCF-STSI
Vienne,0.03,,"DSF-3H (0,03 m3)",THALES AVS FRANCE - CHATELLERAULT SITE
Yvelines,0.0,,"S04 (0,0011 m3)",THALES AVS FRANCE - SITE DE VELIZY
Yvelines,0.0,,"S01 (0,03 m3)",THALES AVS FRANCE - SITE DE VELIZY
Loiret,0.0,,"S02 (1,2 m3)",THALES LAS - CUSTOMER SERVICE (FLEURY-LES-AUBRAIS)
Savoie,0.0,,"S04 (0,031 m3)",ORANGE - UI ALPS
Gironde,0.0,,"S04 (0,022 m3)",ORANGE - UI AQUITAINE
Puy-de-Dôme,0.0,,"S04 (0,078 m3)",ORANGE - UI AUVERGNE
Ille-et-Vilaine,0.0,,"S04 (0,068 m3)",ORANGE - UI BRITTANY
Seine-et-Marne,0.0,,"S04 (0,056 m3)",ORANGE - UI ILE DE FRANCE EAST
Essonne,0.0,,"S04 (0,101 m3)",ORANGE - UI ILE DE FRANCE SOUTH
Nord,0.0,,"S04 (0,019 m3)",ORANGE - UI NORTH PAS DE CALAIS
Drôme,0.0,,"S04 (0,016 m3)",ORANGE - UI RHONE AND DURANCE
Val-de-Marne,1e-05,,"GAZ (0,00001 m3)","FACULTY OF SCIENCE AND TECHNOLOGY - UNIV. PARIS XII - CMC - CELLULAR GROWTH, TISSUE REPAIR AND REGENERATION LABORATORY (INSERM UMR 7149)"
Haute-Garonne,0.03,,"GAZ (0,03 m3)",INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594
Doubs,0.0,,"S02 (0,01 m3)",UNIVERSITY OF FRANCHE-COMTE - HEALTH AND SAFETY
Vienne,0.0,,"S01 (0,0025 m3)",UNIVERSITY OF POITIERS - HEALTH AND SAFETY DEPARTMENT - RADIOACTIVE bunker
Monaco?,0.0,,"S01 (0,0002 m3)",MONEGASQUE SANITATION COMPANY - SMA
