,County,Radionuclide_1,Radionuclide_2,Radionuclide_3,Radionuclide_4,Radionuclide_5,Radionuclide_6,Count
0,Ain,3H, 22Na, 44Ti, 55Fe, 60Co, 63Ni,3
1,Ain,3H, 22Na, 54Mn, 60Co, 152Eu, 154Eu,1
2,Ain,54Mn, 57Co, 58Co, 18F, 51Cr, 56Co,1
3,Ain,54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co,4
4,Ain,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,35
5,Aisne,18F,67Ga,111In,123I,201Tl,99mTc,1
6,Aisne,18F,67Ga,99Mo,111In,201Tl,99mTc,1
7,Alpes-Maritimes,18F,99Mo,123I,169Er,99mTc,90Y,1
8,Alpes-Maritimes,60Co, 137Cs, 152Eu, 232Th, 239Pu, U,1
9,Alpes-Maritimes,60Co, 152Eu, 209Po, 232Th, 241Am, U,1
10,Ardennes,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,29
11,Ardennes,67Ga,111In,123I,131I,201Tl,99mTc,1
12,Ardèche,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,34
13,Aube,18F,111In,123I,131I,99mTc,90Y,1
14,Aube,54Mn, 60Co, 57Co, 58Co, 51Cr, 56Co,5
15,Aube,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,37
16,Aude,235U, 238U, 237Np, 239Pu, 241Pu, 241Am,3
17,Aude,60Co, 110mAg, 137Cs, 242Pu, 243Am, 58Co,2
18,Aude,67Ga,111In,123I,131I,201Tl,99mTc,1
19,Aude,99Tc, 226Ra, 232Th, 234U, 238U, 227Th,2
20,Bas-Rhin,111In,123I,131I,201Tl,99mTc,177Lu,1
21,Bas-Rhin,137Cs, 152Eu, 232Th, 235U, 238U, 241Am,1
22,Bas-Rhin,18F,67Ga,111In,123I,201Tl,99mTc,1
23,Bas-Rhin,3H, 41Ca, 55Fe, 60Co, 133Ba, 152Eu,1
24,Bas-Rhin,54Mn, 57Co, 58Co, 56Co, 88Y, 52Mn,1
25,Bouches-du-Rhône,111In,123I,125I,131I,201Tl,99mTc,1
26,Bouches-du-Rhône,18F,67Ga,111In,123I,201Tl,99mTc,1
27,Bouches-du-Rhône,204Tl, 210Pb, 228Ra, 227Ac, Th, 213Bi,1
28,Bouches-du-Rhône,55Fe, 60Co, 63Ni, 110mAg, 137Cs, 58Co,6
29,Bouches-du-Rhône,68Ga,123I,125I,131I,99mTc,177Lu,1
30,Calvados,18F,32P,111In,131I,99mTc,177Lu,1
31,Calvados,22Na, 54Mn, 57Co, 65Zn, 58Co, 56Co,1
32,Calvados,3H, 22Na, 44Ti, 55Fe, 60Co, 57Co,2
33,Calvados,3H, 22Na, 53Mn, 57Co, 65Zn, 133Ba,1
34,Calvados,44Ti, 54Mn, 55Fe, 60Co, 57Co, 65Zn,1
35,Calvados,54Mn, 60Co, 57Co, 58Co, 56Co, 59Fe,1
36,Calvados,67Ga,111In,123I,131I,201Tl,99mTc,1
37,Charente-Maritime,18F,67Ga,111In,123I,131I,99mTc,1
38,Cher,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,27
39,Corrèze,54Mn, 65Zn, 137Cs, 134Cs, 210Pb, 131I,1
40,Corrèze,60Co, 57Co, 137Cs, 134Cs, 241Am, 85Sr,1
41,Côte-d'Or,111In,123I,131I,201Tl,99mTc,177Lu,1
42,Côte-d'Or,68Ga,111In,123I,99mTc,90Y,177Lu,1
43,Côtes-d'Armor,67Ga,111In,123I,131I,201Tl,99mTc,1
44,Doubs,111In,123I,125I,131I,99mTc,177Lu,1
45,Drôme,18F,111In,123I,131I,201Tl,99mTc,1
46,Drôme,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,35
47,Essonne,10Be, 60Co, 228Th, 232U, 233U, 237Np,1
48,Essonne,137Cs, 210Pb, 226Ra, 238Pu, 241Am, 252Cf,1
49,Essonne,137Cs, 226Ra, 232Th, 231Pa, 235U, 238U,1
50,Essonne,137Cs, 226Ra, 232Th, 235U, 238U, 141Ce,1
51,Essonne,14C, 137Cs, 133Ba, 152Eu, U, Th,1
52,Essonne,226Ra, 231Pa, 241Am, 249Cf, U, Th,2
53,Essonne,3H, 14C, 60Co, 63Ni, 137Cs, 51Cr,1
54,Essonne,3H, 14C, 90Sr, 99Tc, 137Cs, 152Eu,1
55,Essonne,3H, 55Fe, 60Co, 90Sr, 137Cs, 51Cr,1
56,Essonne,3H, 63Ni, 90Sr, U, Pu, Am,3
57,Essonne,40K, 54Mn, 57Co, 109Cd, 51Cr, 56Co,1
58,Essonne,40K, 54Mn, 60Co, 57Co, 65Zn, 51Cr,1
59,Essonne,54Mn, 57Co, 109Cd, 56Co, 182Ta, 181W,1
60,Essonne,54Mn, 60Co, 57Co, 65Zn, 109Cd, 56Co,1
61,Essonne,55Fe, 60Co, 63Ni, 90Sr, 137Cs, 238Pu,1
62,Essonne,60Co, 152Eu, 228Th, 229Th, 232U, 233U,1
63,Essonne,60Co, 57Co, 65Zn, 152Eu, 154Eu, 155Eu,1
64,Essonne,60Co, 63Ni, 90Sr, 137Cs, 238Pu, 241Am,4
65,Essonne,60Co, 65Zn, 110mAg, 137Cs, 152Eu, 154Eu,1
66,Essonne,67Ga,111In,123I,131I,201Tl,99mTc,1
67,Finistère,18F,68Ga,123I,131I,99mTc,177Lu,1
68,Finistère,90Sr, 210Pb, 226Ra, 234U, 235U, 210Po,2
69,Gard,18F,123I,131I,99mTc,90Y,177Lu,1
70,Gard,235U, 238U, 238Pu, 239Pu, 240Pu, 241Am,9
71,Gard,3H, 14C, 55Fe, 60Co, 110mAg, 137Cs,1
72,Gard,54Mn, 57Co, 65Zn, 58Co, 51Cr, 56Co,2
73,Gard,54Mn, 57Co, 65Zn, 58Co, 56Co, 183Re,2
74,Gard,55Fe, 60Co, 63Ni, 110mAg, 137Cs, 58Co,1
75,Gard,60Co, 63Ni, 90Sr, 137Cs, 239Pu, 241Am,1
76,Gard,60Co, 63Ni, 90Sr, 99Tc, 137Cs, 151Sm,3
77,Gironde,18F,123I,125I,131I,99mTc,177Lu,1
78,Gironde,18F,67Ga,111In,123I,131I,99mTc,1
79,Gironde,18F,68Ga,131I,99mTc,90Y,177Lu,1
80,Gironde,3H, 60Co, 85Kr, 226Ra, 232Th, 183Re,1
81,Gironde,54Mn, 57Co, 109Cd, 58Co, 51Cr, 56Co,2
82,Gironde,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,32
83,Haut-Rhin,54Mn, 60Co, 58Co, 198Au, 182Ta, 181W,1
84,Haut-Rhin,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,29
85,Haut-Rhin,99Mo,111In,123I,131I,201Tl,99mTc,2
86,Haute-Garonne,18F,51Cr,123I,201Tl,99mTc,90Y,1
87,Haute-Garonne,60Co, 137Cs, 226Ra, U, Th, Am,1
88,Haute-Garonne,68Ga,111In,125I,131I,99mTc,177Lu,1
89,Haute-Loire,67Ga,111In,123I,131I,201Tl,99mTc,1
90,Haute-Marne,111In,123I,131I,153Sm,201Tl,99mTc,1
91,Haute-Vienne,68Ge,18F,123I,131I,99mTc,90Y,1
92,Haute-Vienne,90Sr, 210Pb, 208Po, 226Ra, 232U, 239Pu,1
93,Hautes-Pyrénées,111In,123I,125I,131I,201Tl,99mTc,1
94,Hauts-de-Seine,18F,68Ga,111In,123I,201Tl,99mTc,1
95,Hauts-de-Seine,18F,68Ga,111In,131I,99mTc,90Y,1
96,Hauts-de-Seine,18F,68Ga,123I,131I,201Tl,99mTc,1
97,Hauts-de-Seine,210Pb, 226Ra, 230Th, 231Pa, 235U, 238U,1
98,Hauts-de-Seine,3H, 14C, 22Na, 36Cl, 226Ra, 108mAg,1
99,Hauts-de-Seine,3H, 14C, 55Fe, 63Ni, 99Tc, 204Tl,1
100,Hauts-de-Seine,3H, 14C, 60Co, 137Cs, 226Ra, 238U,1
101,Hauts-de-Seine,3H, 14C, 63Ni, 237Np, 238Pu, 241Am,1
102,Hauts-de-Seine,3H, 14C, 63Ni, 90Sr, 99Tc, 241Am,1
103,Hauts-de-Seine,3H, 22Na, 90Sr, 137Cs, 210Pb, 226Ra,1
