City,County,Code,Site,Waste Type,Waste Sub-Type,Description,Category,Label,Volume in mt,Increase,BQ,Radionuclides
NIMES,Gard,30189,CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES),,,DGD - Declining managed waste,Very short life,DGD,"0,7",,-,18F
BAGNOLS-SUR-CEZE,Gard,30028,RADIATION PROTECTION ADVICE AND STUDIES (CERAP) - BAGNOLS SUR CEZE AGENCY,,,DGD - Declining managed waste,Very short life,DGD,"0,0005",,-,131I
CHERBOURG-EN-COTENTIN,Manche,50129,ADVICE AND STUDIES IN RADIATION PROTECTION (CERAP) - AGENCE DE CHERBOURG,,,DGD - Declining managed waste,Very short life,DGD,"0,001",,-,131I
SAINT-BEAUZIRE,Puy-de-Dôme,43170,CYCLOPHARMA LABORATORIES - SAINT-BEAUZIRE,,,DGD - Declining managed waste,Very short life,DGD,"0,208",,-,"58Co,18F,51Cr,56Co"
SIGNES,Var,83127,IPSEN PHARMA BIOTECH - QUALITY CONTROL - RIA LABORATORY,,,DGD - Declining managed waste,Very short life,DGD,"0,52",,-,125I
GENCAY,Vienne,86103,BIOALTERNATIVES SA - BIOLOGY MOLECULAR AND CELLULAR,,,DGD - Declining managed waste,Very short life,DGD,"0,1",,-,35S
SAINT-GREGOIRE,Ille-et-Vilaine,35278,BIOPROJECT - BIOTECH - RESEARCH CENTER / BIOCHEMISTRY,,,DGD - Declining managed waste,Very short life,DGD,"3,8",,-,35S
BRON,Rhône,69029,CERMEP - CYCLOTRON BIOMEDICAL - RADIOCHEMISTRY - LIVE IMAGING,,,DGD - Declining managed waste,Very short life,DGD,"0,999",,-,"11C,13N,15O,18F,68Ga"
ORLEANS,Loiret,45234,CNRS - ORLEANS - CNRS - CBM A - UPR 4301,,,DGD - Declining managed waste,Very short life,DGD,1,,-,32P
MONTPELLIER,Hérault,34172,CIRAD MONTPELLIER - BAILLARGUET SITE - TROPICAL AND MEDITERRANEAN SYMBIOSES LABORATORY (LSTM TA82),,,DGD - Declining managed waste,Very short life,DGD,"0,002",,-,32P
STRASBOURG,Bas-Rhin,67482,INSTITUTE OF CELLULAR AND INTEGRATIVE NEUROSCIENCES - CNRS - UPR 3212,,,DGD - Declining managed waste,Very short life,DGD,"0,135",,-,"35S,125I"
MONTPELLIER,Hérault,34172,CNRS - MONTPELLIER - CNRS -CRBM - UMR5237 MONTPELLIER CELLULAR BIOCHEMISTRY RESEARCH CENTER,,,DGD - Declining managed waste,Very short life,DGD,"0,25",,-,"32P,33P,35S"
VILLIERS-EN-BOIS,Deux-Sèvres,79350,CNRS - CENTER D&#39;ETUDES BIOLOGIQUES DE CHIZE (CEBC) - CNRS - CEBC UMR7372,,,DGD - Declining managed waste,Very short life,DGD,"0,08",,-,125I
ORLEANS,Loiret,45234,CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 EXTREME CONDITIONS AND MATERIALS: HIGH TEMPERATURE AND IRRADIATION,,,DGD - Declining managed waste,Very short life,DGD,"0,025",,-,"166Ho,46Sc,56Co,48V,52Mn"
CLERMONT-FERRAND,Puy-de-Dôme,63113,AUVERGNE UNIVERSITY - UMR 1240 MOLECULAR IMAGING AND THERANOSTIC STRATEGIES,,,DGD - Declining managed waste,Very short life,DGD,8,,-,"111In,125I,131I,90Y,177Lu"
LYON,Rhône,69123,LEON BERARD CENTER - GCS LYON CANCEROLOGY UNIVERSITY - IRATHERAPY - NUCLEAR MEDICINE LUMEN,,,DGD - Declining managed waste,Very short life,DGD,5,,-,"18F,111In,123I,131I,99mTc,90Y"
MONTPELLIER,Hérault,34172,ICM - Val d&#39;Aurelle - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"17,37",,-,"226Ra,99Mo,111In,131I,99mTc,177Lu"
SAINT-BENOIT,Vienne,86214,SGS FRANCE - LIFE SERVICES SAINT BENOIT,,,DGD - Declining managed waste,Very short life,DGD,1,,-,125I
PARIS 05,Paris,75105,COLLEGE DE FRANCE - CNRS 7241-INSERM U1050,,,DGD - Declining managed waste,Very short life,DGD,"0,75",,-,"32P,35S,125I"
MARCY-L'ETOILE,Rhône,69127,VETERINARY CAMPUS OF LYON - VETAGRO-SUP,,,DGD - Declining managed waste,Very short life,DGD,"2,8",,-,125I
NANTES,Loire-Atlantique,44109,ONIRIS - LABONIRIS,,,DGD - Declining managed waste,Very short life,DGD,7,,-,125I
LYON,Rhône,69123,SUPERIOR NORMAL SCHOOL OF LYON - PREVENTION AND OCCUPATIONAL HEALTH DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,"0,39",,-,"32P,35S"
PALAISEAU,Essonne,91477,POLYTECHNICAL SCHOOL - CELL STRUCTURAL BIOLOGY LABORATORY - UMR 7654,,,DGD - Declining managed waste,Very short life,DGD,"0,54",,-,"32P,33P,35S"
MORET-LOING-ET-ORVANNE,Seine-et-Marne,77316,EDF - RESEARCH &amp; DEVELOPMENT - RENARDIERES - MATERIALS AND MECHANICS OF COMPONENTS DEPT (MMC),,,DGD - Declining managed waste,Very short life,DGD,"0,2",,-,"58Co,56Co"
STRASBOURG,Bas-Rhin,67482,FRENCH BLOOD ESTABLISHMENT - INSERM UMR S1255,,,DGD - Declining managed waste,Very short life,DGD,"0,088",,-,"33P,35S,125I"
RENNES,Ille-et-Vilaine,35238,UNIVERSITY OF RENNES I - INSERM - U1241- NUTRITION-METABOLISM &amp; CANCER,,,DGD - Declining managed waste,Very short life,DGD,"0,02",,-,32P
PLOUZANE,Finistère,29212,IFREMER / CENTER BRITTANY - RESEARCH,,,DGD - Declining managed waste,Very short life,DGD,"0,2",,-,35S
ORSAY,Essonne,91471,CURIE RESEARCH INSTITUTE - Orsay Research Center,,,DGD - Declining managed waste,Very short life,DGD,"1,02",,-,"32P,35S"
MARSEILLE,Bouches-du-Rhône,13055,CNRS - PROVENCE AND CORSICA DELEGATION - CNRS - MEDITERRANEAN INSTITUTE OF MICROBIOLOGY (IMM) FR 3479,,,DGD - Declining managed waste,Very short life,DGD,"0,2",,-,"32P,33P,35S"
MONTPELLIER,Hérault,34172,CNRS - MONTPELLIER - UMR CNRS 9002 ,,,DGD - Declining managed waste,Very short life,DGD,"0,5",,-,"32P,35S"
MONTPELLIER,Hérault,34172,MONTPELLIER RESEARCH INSTITUTE FOR DEVELOPMENT (IRD) - GENETROP - RPB/DIADE UNIT,,,DGD - Declining managed waste,Very short life,DGD,1,,-,32P
CROISSY-SUR-SEINE,Yvelines,78190,SERVIER RESEARCH INSTITUTE - CPCB,,,DGD - Declining managed waste,Very short life,DGD,"0,26",,-,35S
MARSEILLE,Bouches-du-Rhône,13055,MARSEILLE CANCER RESEARCH INSTITUTE - PAOLI-CALMETTES INSTITUTE - INSERM UMR 1068 CRCM,,,DGD - Declining managed waste,Very short life,DGD,"0,28",,-,32P
PARIS 15,Paris,75115,NATIONAL INSTITUTE OF BLOOD TRANSFUSION - INSERM-UP7 UMR S 1134 INTEGRATED BIOLOGY OF THE RED BLOOD CELL,,,DGD - Declining managed waste,Very short life,DGD,"0,02",,-,32P
