VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
NIMES;30;30189;CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES);0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,7;0;-;18F
BAGNOLS-SUR-CEZE;30;30028;CONSEILS ET ETUDES EN RADIOPROTECTION (CERAP) - AGENCE DE BAGNOLS SUR CEZE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,0005;0;-;131I
CHERBOURG-EN-COTENTIN;50;50129;CONSEILS ET ETUDES EN RADIOPROTECTION (CERAP) - AGENCE DE CHERBOURG;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,001;0;-;131I
SAINT-BEAUZIRE;63;43170;LABORATOIRES CYCLOPHARMA - SAINT-BEAUZIRE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,208;0;-;58Co,18F,51Cr,56Co
SIGNES;83;83127;IPSEN PHARMA BIOTECH - CONTROLE QUALITE - LABORATOIRE RIA;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,52;0;-;125I
GENCAY;86;86103;BIOALTERNATIVES S.A. - BIOLOGIE MOLECULAIRE ET CELLULAIRE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,1;0;-;35S
SAINT-GREGOIRE;35;35278;BIOPROJET - BIOTECH - CENTRE DE RECHERCHE / BIOCHIMIE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;3,8;0;-;35S
BRON;69;69029;C.E.R.M.E.P. - CYCLOTRON BIOMEDICAL - RADIOCHIMIE - IMAGERIE DU VIVANT;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,999;0;-;11C,13N,15O,18F,68Ga
ORLEANS;45;45234;CNRS - ORLEANS - CNRS - CBM A - UPR 4301;0;0;DGD - Dechets geres en decroissance;VTC;DGD;1;0;-;32P
MONTPELLIER;34;34172;CIRAD MONTPELLIER - SITE BAILLARGUET - LABORATOIRE SYMBIOSES TROPICALES ET MEDITERRANEENNES (LSTM TA82);0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,002;0;-;32P
STRASBOURG;67;67482;INSTITUT DES NEUROSCIENCES CELLULAIRES ET INTEGRATIVES - CNRS - UPR 3212;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,135;0;-;35S,125I
MONTPELLIER;34;34172;CNRS - MONTPELLIER - CNRS -CRBM - UMR5237 CENTRE DE RECHERCHE EN BIOCHIMIE CELLULAIRE DE MONTPELLIER;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,25;0;-;32P,33P,35S
VILLIERS-EN-BOIS;79;79350;CNRS - CENTRE D'ETUDES BIOLOGIQUES DE CHIZE (CEBC) - CNRS - CEBC UMR7372;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,08;0;-;125I
ORLEANS;45;45234;CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 CONDITIONS EXTREMES ET MATERIAUX : HAUTE TEMPERATURE ET IRRADIATION;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,025;0;-;166Ho,46Sc,56Co,48V,52Mn
CLERMONT-FERRAND;63;63113;UNIVERSITE D'AUVERGNE - UMR 1240 IMAGERIE MOLECULAIRE ET STRATEGIES THERANOSTIQUES;0;0;DGD - Dechets geres en decroissance;VTC;DGD;8;0;-;111In,125I,131I,90Y,177Lu
LYON;69;69123;CENTRE LEON BERARD - GCS LYON CANCEROLOGIE UNIVERSITE- IRATHERAPIE - MEDECINE NUCLEAIRE LUMEN;0;0;DGD - Dechets geres en decroissance;VTC;DGD;5;0;-;18F,111In,123I,131I,99mTc,90Y
MONTPELLIER;34;34172;ICM - Val d'Aurelle - MEDECINE NUCLEAIRE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;17,37;0;-;226Ra,99Mo,111In,131I,99mTc,177Lu
SAINT-BENOIT;86;86214;SGS FRANCE - LIFE SERVICES SAINT BENOIT;0;0;DGD - Dechets geres en decroissance;VTC;DGD;1;0;-;125I
PARIS 05;75;75105;COLLEGE DE FRANCE - CNRS 7241-INSERM U1050;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,75;0;-;32P,35S,125I
MARCY-L'ETOILE;69;69127;CAMPUS VETERINAIRE DE LYON - VETAGRO-SUP;0;0;DGD - Dechets geres en decroissance;VTC;DGD;2,8;0;-;125I
NANTES;44;44109;ONIRIS - LABONIRIS;0;0;DGD - Dechets geres en decroissance;VTC;DGD;7;0;-;125I
LYON;69;69123;ECOLE NORMALE SUPERIEURE DE LYON - SERVICE PREVENTION ET SANTE AU TRAVAIL;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,39;0;-;32P,35S
PALAISEAU;91;91477;ECOLE POLYTECHNIQUE - LABORATOIRE DE BIOLOGIE STRUCTURALE DE LA CELLULE - UMR 7654;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,54;0;-;32P,33P,35S
MORET-LOING-ET-ORVANNE;77;77316;EDF - RECHERCHE & DEVELOPPEMENT - RENARDIERES - DEPT MATERIAUX ET MECANIQUE DES COMPOSANTS (MMC);0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,2;0;-;58Co,56Co
STRASBOURG;67;67482;ETABLISSEMENT FRANCAIS DU SANG - INSERM UMR S1255;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,088;0;-;33P,35S,125I
RENNES;35;35238;UNIVERSITE DE RENNES I - INSERM - U1241- NUTRITION-METABOLISMES & CANCER;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,02;0;-;32P
PLOUZANE;29;29212;IFREMER / CENTRE BRETAGNE - RECHERCHE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,2;0;-;35S
ORSAY;91;91471;INSTITUT CURIE RECHERCHE - Centre de recherche d'Orsay;0;0;DGD - Dechets geres en decroissance;VTC;DGD;1,02;0;-;32P,35S
MARSEILLE;13;13055;CNRS - DELEGATION PROVENCE ET CORSE - CNRS - INSTITUT MEDITERRANEEN DE MICROBIOLOGIE (IMM) FR 3479;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,2;0;-;32P,33P,35S
MONTPELLIER;34;34172;CNRS - MONTPELLIER - UMR CNRS 9002 ;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,5;0;-;32P,35S
MONTPELLIER;34;34172;INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD) DE MONTPELLIER - GENETROP - UNITE RPB/DIADE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;1;0;-;32P
CROISSY-SUR-SEINE;78;78190;INSTITUT DE RECHERCHES SERVIER - CPCB;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,26;0;-;35S
MARSEILLE;13;13055;INSTITUT DE RECHERCHE EN CANCEROLOGIE DE MARSEILLE - INSTITUT PAOLI-CALMETTES - INSERM UMR 1068 CRCM;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,28;0;-;32P
PARIS 15;75;75115;INSTITUT NATIONAL DE LA TRANSFUSION SANGUINE - INSERM-UP7 UMR S 1134 BIOLOGIE INTEGREE DU GLOBULE ROUGE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,02;0;-;32P
PARIS 15;75;75115;INSTITUT PASTEUR DE PARIS - ENSEMBLE DES UNITES DE RECHERCHE DE L'INSTITUT PASTEUR;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,76;0;-;32P,33P,125I
LES ABYMES;971;97101;INSTITUT PASTEUR DE GUADELOUPE - LABORATOIRE DES MYCOBACTERIES - RECHERCHE BIOMEDICALE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,001;0;-;35S
VILLEBON-SUR-YVETTE;91;91661;ONCODESIGN - BIOLOGIE CELLULAIRE - RADIO-IMMUNO-ANALYSE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;3;0;-;125I
LES ULIS;91;91692;IPSEN INNOVATION - INSTITUT HENRI BEAUFOUR - Service Competent en Radioprotection;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,059;0;-;125I
ROSCOFF;29;29239;STATION BIOLOGIQUE - UMR8227 - UMR7144 ;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,05;0;-;32P,35S
LYON;69;69123;CNRS - DR7 - INSTITUT DE BIOLOGIE ET CHIMIE DES PROTEINES - UMS 3760;0;0;DGD - Dechets geres en decroissance;VTC;DGD;1;0;-;32P
CAEN;14;14118;Universite de Caen Basse-Normandie - Pole de Radioprotection - Plateau technique IMOGERE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,98;0;-;32P,35S,125I
VANDOEUVRE-LES-NANCY;54;54547;UNIVERSITE DE LORRAINE - UMR 7365 CNRS - INGENIERIE MOLECULAIRE ET PHYSIOPATHOLOGIE ARTICULAIRE (IMOPA);0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,5;0;-;32P,35S
NANTES;44;44109;UNIVERSITE DE NANTES - EMN - IN2P3 -ARMINES - IN2P3 - CNRS - LABO. DE PHYSIQUE SUBATOMIQUE ET DES TECHNOLOGIES ASSOCIEES (SUBATECH);0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,2;0;-;95Zr,123I,125I,131I,99mTc
NICE;6;6088;UNIVERSITE COTE D'AZUR - FACULTE DE MEDECINE - IRCAN INSERM U1081, CNRS UMR 7284;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,44;0;-;32P
NICE;6;6088;CHU DE NICE - HOPITAL DE L'ARCHET - INSERM UMR 1065 C3M - BATIMENT ARCHIMED;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,1;0;-;32P
VALBONNE;6;6152;CNRS - UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - INSTITUT DE PHARMACOLOGIE- UMR 7275 - RECHERCHE BIOLOGIQUE;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,6;0;-;32P,35S,125I
MONT-SAINT-AIGNAN;76;76451;UNIVERSITE DE ROUEN - INSERM - U1239;0;0;DGD - Dechets geres en decroissance;VTC;DGD;1;0;-;125I
LA TRONCHE;38;38516;UNIVERSITE GRENOBLES ALPES - FACULTE DE MEDECINE DE GRENOBLE - INSERM U1039 - RADIOPHARMACEUTIQUES BIOCLINIQUES;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,4;0;-;18F,68Ga,125I,201Tl,99mTc,177Lu
ILLKIRCH-GRAFFENSTADEN;67;67218;UNIVERSITE DE STRASBOURG - IREBS - UMR 7242;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,18;0;-;32P,35S,125I
ILLKIRCH-GRAFFENSTADEN;67;67218;UNIVERSITE DE STRASBOURG - IGBMC - INSERM U1258 - CNRS UMR 7104;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,6;0;-;32P
STRASBOURG;67;67482;UNIVERSITE DE STRASBOURG - CNRS - INSTITUT DE BIOLOGIE MOLECULAIRE DES PLANTES (IBMP) - UPR 2357;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,115;0;-;32P,35S
STRASBOURG;67;67482;INSTITUT DE BIOLOGIE MOLECULAIRE ET CELLULAIRE (IBMC) - CNRS - UPR 9002 ARCHITECTURE ET REACTIVITE DE L'ARN;0;0;DGD - Dechets geres en decroissance;VTC;DGD;0,12;0;-;32P,35S
