VILLE,DEPARTEMENT,CODE INSEE,NOM DU SITE,GROUPE DE DECHETS,SOUS-GROUPE DE DECHETS,DESCRIPTION PHYSIQUE,CATEGORIE,FAMILLE IN,VOLUME EQUIVALENT CONDITIONNE,MAJORATION,ACTIVITE ( Bq),PRINCIPAUX RADIONUCLEIDES
&quot;IN THE NAME&quot;,"""30""","""30189""",&quot;CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES)&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,7""","""0""","""-""","""18F"""
&quot;BAGNOLS-SUR-CEZE&quot;,"""30""","""30028""",&quot;RADIOPROTECTION ADVICE AND STUDIES (CERAP) - BAGNOLS SUR CEZE AGENCY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,0005""","""0""","""-""","""131I"""
&quot;CHERBOURG-EN-COTENTIN&quot;,"""50""","""50129""",&quot;RADIOPROTECTION ADVICE AND STUDIES (CERAP) - CHERBOURG AGENCY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,001""","""0""","""-""","""131I"""
&quot;SAINT-BEAUZIRE&quot;,"""63""","""43170""",&quot;CYCLOPHARMA LABORATORIES - SAINT-BEAUZIRE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,208""","""0""","""-""","""58Co,18F,51Cr,56Co"""
&quot;SIGNS&quot;,"""83""","""83127""",&quot;IPSEN PHARMA BIOTECH - QUALITY CONTROL - RIA LABORATORY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,52""","""0""","""-""","""125I"""
&quot;GENCAY&quot;,"""86""","""86103""",&quot;BIOALTERNATIVES SA - BIOLOGY MOLECULAR ET CELLULAR&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,1""","""0""","""-""",&quot;35S&quot;
"""SAINT-GREGOIRE""","""35""","""35278""",&quot;BIOPROJECT - BIOTECH - RESEARCH CENTER / BIOCHEMISTRY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""3,8""","""0""","""-""",&quot;35S&quot;
&quot;SOURCE&quot;,"""69""","""69029""",&quot;CERMEP - CYCLOTRON BIOMEDICAL - RADIOCHEMISTRY - LIFE IMAGING&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,999""","""0""","""-""","""11C,13N,15O,18F,68Ga"""
"""ORLEANS""","""45""","""45234""","""CNRS - ORLEANS - CNRS - CBM A - UPR 4301""","""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","""32P"""
"""MONTPELLIER""","""34""","""34172""",&quot;CIRAD MONTPELLIER - BAILLARGUET SITE - TROPICAL AND MEDITERRANEAN SYMBIOSES LABORATORY (LSTM TA82)&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,002""","""0""","""-""","""32P"""
"""STRASBOURG""","""67""","""67482""",&quot;INSTITUTE OF CELLULAR AND INTEGRATIVE NEUROSCIENCE - CNRS - UPR 3212&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,135""","""0""","""-""","""35S,125I"""
"""MONTPELLIER""","""34""","""34172""",&quot;CNRS - MONTPELLIER - CNRS -CRBM - UMR5237 MONTPELLIER CELLULAR BIOCHEMISTRY RESEARCH CENTER&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,25""","""0""","""-""","&quot;32P,33P,35S&quot;"
&quot;VILLIERS-EN-BOIS&quot;,"""79""","""79350""",&quot;CNRS - CENTER D&#39;ETUDES BIOLOGIQUES DE CHIZE (CEBC) - CNRS - CEBC UMR7372&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,08""","""0""","""-""","""125I"""
"""ORLEANS""","""45""","""45234""",&quot;CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 EXTREME CONDITIONS AND MATERIALS: HIGH TEMPERATURE AND IRRADIATION&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,025""","""0""","""-""","""166Ho,46Sc,56Co,48V,52Mn"""
"""CLERMONT-FERRAND""","""63""","""63113""",&quot;UNIVERSITY OF AUVERGNE - UMR 1240 MOLECULAR IMAGING AND THERANOSTIC STRATEGIES&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""8""","""0""","""-""","""111In,125I,131I,90Y,177Lu"""
"""LYON""","""69""","""69123""",&quot;LEON BERARD CENTER - GCS LYON CANCEROLOGY UNIVERSITY - IRATHERAPY - LUMEN NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""5""","""0""","""-""","""18F,111In,123I,131I,99mTc,90Y"""
"""MONTPELLIER""","""34""","""34172""",&quot;ICM - Val d&#39;Aurelle - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""17,37""","""0""","""-""","&quot;226Ra,99Mo,111In,131I,99mTc,177Lu&quot;"
&quot;SAINT-BENOIT&quot;,"""86""","""86214""","""SGS FRANCE - LIFE SERVICES SAINT BENOIT""","""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","""125I"""
"""PARIS 05""","""75""","""75105""",&quot;COLLEGE DE FRANCE - CNRS 7241-INSERM U1050&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,75""","""0""","""-""","""32P,35S,125I"""
"""MARCY-L'ETOILE""","""69""","""69127""",&quot;LYON VETERINARY CAMPUS - VETAGRO-SUP&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""2,8""","""0""","""-""","""125I"""
&quot;NANTES&quot;,"""44""","""44109""",&quot;ONIRIS - LABONIRIS&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""7""","""0""","""-""","""125I"""
"""LYON""","""69""","""69123""",&quot;LYON SUPERIOR NORMAL SCHOOL - PREVENTION AND OCCUPATIONAL HEALTH DEPARTMENT&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,39""","""0""","""-""","&quot;32P,35S&quot;"
&quot;PALACE&quot;,"""91""","""91477""",&quot;ECOLE POLYTECHNIQUE - CELL STRUCTURAL BIOLOGY LABORATORY - UMR 7654&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,54""","""0""","""-""","&quot;32P,33P,35S&quot;"
&quot;MORET-LOING-ET-ORVANNE&quot;,"""77""","""77316""",&quot;EDF - RESEARCH &amp; DEVELOPMENT - RENARDIERES - DEPT MATERIALS AND MECHANICS OF COMPONENTS (MMC)&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,2""","""0""","""-""","""58Co,56Co"""
"""STRASBOURG""","""67""","""67482""",&quot;FRENCH BLOOD ESTABLISHMENT - INSERM UMR S1255&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,088""","""0""","""-""","&quot;33P,35S,125I&quot;"
&quot;REINDEER&quot;,"""35""","""35238""",&quot;UNIVERSITY OF RENNES I - INSERM - U1241- NUTRITION-METABOLISM &amp; CANCER&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,02""","""0""","""-""","""32P"""
